,GameKey,PlayerID,SeasonType,Season,GameDate,Week,Team,Opponent,HomeOrAway,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,FantasyPosition,PlayerGameID,ExtraPointsAttempted,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,InjuryStatus,TeamID,OpponentID,ScoreID
47,201810125,14697,1,2018,2018-09-10T22:20:00,1,LAR,LV,AWAY,4,Greg Zuerlein,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,17.0,17.0,K,990214354,3.0,17.0,0.0,3.0,0.0,0.0,1.0,17.0,,32,25,16669
78,201810114,3258,1,2018,2018-09-09T13:00:00,1,IND,CIN,HOME,4,Adam Vinatieri,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,13.0,13.0,K,990209591,2.0,13.0,0.0,1.0,1.0,0.0,1.0,13.0,,14,7,16656
81,201810110,14996,1,2018,2018-09-09T16:25:00,1,DEN,SEA,HOME,8,Brandon McManus,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,13.0,13.0,K,990210173,3.0,13.0,0.0,0.0,0.0,0.0,2.0,13.0,,10,30,16664
102,201810122,16644,1,2018,2018-09-09T13:00:00,1,TB,NO,AWAY,7,Chandler Catanzaro,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,12.0,12.0,K,990209174,6.0,12.0,0.0,0.0,2.0,0.0,0.0,12.0,,33,22,16660
107,201810111,17215,1,2018,2018-09-10T19:10:00,1,NYJ,DET,AWAY,2,Jason Myers,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,12.0,12.0,K,990214288,6.0,12.0,0.0,0.0,2.0,0.0,0.0,12.0,,24,11,16668
124,201810103,14688,1,2018,2018-09-09T13:00:00,1,BAL,BUF,HOME,9,Justin Tucker,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,11.0,11.0,K,990209245,5.0,12.0,0.0,0.0,1.0,1.0,0.0,12.0,,3,4,16662
129,201810112,16236,1,2018,2018-09-09T20:20:00,1,CHI,GB,AWAY,1,Cody Parkey,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,11.0,11.0,K,990211407,2.0,11.0,0.0,1.0,2.0,0.0,0.0,11.0,,6,12,16667
152,201810114,13961,1,2018,2018-09-09T13:00:00,1,CIN,IND,AWAY,4,Randy Bullock,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,10.0,10.0,K,990209607,4.0,11.0,0.0,0.0,1.0,1.0,0.0,11.0,,7,14,16656
156,201810120,1410,1,2018,2018-09-09T13:00:00,1,SF,MIN,AWAY,9,Robbie Gould,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,10.0,10.0,K,990209315,1.0,11.0,0.0,1.0,1.0,1.0,0.0,11.0,,31,20,16658
157,201810119,8750,1,2018,2018-09-09T13:00:00,1,TEN,MIA,AWAY,4,Ryan Succop,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,10.0,10.0,K,990209414,2.0,11.0,0.0,0.0,0.0,1.0,1.0,11.0,,34,19,16657
183,201810119,20033,1,2018,2018-09-09T13:00:00,1,MIA,TEN,HOME,7,Jason Sanders,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,9.0,9.0,K,990209495,3.0,9.0,0.0,1.0,1.0,0.0,0.0,9.0,,19,34,16657
185,201810121,2982,1,2018,2018-09-09T13:00:00,1,NE,HOU,HOME,3,Stephen Gostkowski,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,9.0,9.0,K,990209684,3.0,9.0,0.0,0.0,2.0,0.0,0.0,9.0,,21,13,16659
186,201810123,18645,1,2018,2018-09-09T13:00:00,1,NYG,JAX,HOME,2,Aldrick Rosas,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,K,990209843,0.0,10.0,0.0,1.0,1.0,1.0,0.0,10.0,,23,15,16661
204,201810126,3388,1,2018,2018-09-06T20:20:00,1,ATL,PHI,AWAY,3,Matt Bryant,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,K,990208624,1.0,8.0,0.0,1.0,0.0,0.0,1.0,8.0,,2,26,16654
208,201810121,18215,1,2018,2018-09-09T13:00:00,1,HOU,NE,AWAY,7,Ka'imi Fairbairn,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,K,990209754,2.0,9.0,0.0,0.0,1.0,1.0,0.0,9.0,,13,21,16659
209,201810123,17139,1,2018,2018-09-09T13:00:00,1,JAX,NYG,AWAY,4,Josh Lambo,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,K,990209830,2.0,8.0,0.0,0.0,2.0,0.0,0.0,8.0,,15,23,16661
211,201810129,19073,1,2018,2018-09-09T16:05:00,1,KC,LAC,AWAY,7,Harrison Butker,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,8.0,8.0,K,990209946,5.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,,16,29,16663
255,201810125,11735,1,2018,2018-09-10T22:20:00,1,LV,LAR,HOME,6,Mike Nugent,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,7.0,K,990214338,1.0,8.0,0.0,1.0,0.0,1.0,0.0,8.0,,25,32,16669
294,201810120,19989,1,2018,2018-09-09T13:00:00,1,MIN,SF,HOME,7,Daniel Carlson,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,K,990209404,3.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,,20,31,16658
295,201810122,18478,1,2018,2018-09-09T13:00:00,1,NO,TB,HOME,3,Wil Lutz,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,K,990209197,3.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,,22,33,16660
300,201810129,14877,1,2018,2018-09-09T16:05:00,1,LAC,KC,HOME,6,Caleb Sturgis,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,K,990209895,0.0,7.0,0.0,0.0,1.0,1.0,0.0,7.0,,29,16,16663
302,201810110,3253,1,2018,2018-09-09T16:25:00,1,SEA,DEN,AWAY,11,Sebastian Janikowski,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,K,990210149,3.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,,30,10,16664
305,201810101,14867,1,2018,2018-09-09T16:25:00,1,WAS,ARI,AWAY,3,Dustin Hopkins,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,K,990210084,3.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,,35,1,16665
309,201810112,1694,1,2018,2018-09-09T20:20:00,1,GB,CHI,HOME,2,Mason Crosby,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,K,990211372,3.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,,12,6,16667
370,201810111,549,1,2018,2018-09-10T19:10:00,1,DET,NYJ,HOME,5,Matt Prater,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,K,990214232,2.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,,11,24,16668
426,201810126,19041,1,2018,2018-09-06T20:20:00,1,PHI,ATL,HOME,4,Jake Elliott,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,K,990208698,1.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,,26,2,16654
447,201810105,10333,1,2018,2018-09-09T16:25:00,1,CAR,DAL,HOME,9,Graham Gano,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,K,990209973,1.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,,5,9,16666
499,201810103,12594,1,2018,2018-09-09T13:00:00,1,BUF,BAL,AWAY,4,Steven Hauschka,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,K,990209239,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,,4,3,16662
504,201810108,19079,1,2018,2018-09-09T13:00:00,1,CLE,PIT,HOME,2,Zane Gonzalez,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,K,990209575,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,8,28,16655
516,201810108,16191,1,2018,2018-09-09T13:00:00,1,PIT,CLE,AWAY,9,Chris Boswell,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,K,990209532,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,28,8,16655
1058,201810120,17550,1,2018,2018-09-09T13:00:00,1,MIN,SF,HOME,6,Matt Wile,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,990209365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20,31,16658
1243,201810101,5714,1,2018,2018-09-09T16:25:00,1,ARI,WAS,HOME,4,Phil Dawson,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,990210062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,35,16665
1275,201810105,17286,1,2018,2018-09-09T16:25:00,1,CAR,DAL,HOME,5,Michael Palardy,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,990210020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,9,16666
1287,201810105,15854,1,2018,2018-09-09T16:25:00,1,DAL,CAR,AWAY,2,Brett Maher,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,990209999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9,5,16666
34,201810212,1694,1,2018,2018-09-16T13:00:00,2,GB,MIN,HOME,2,Mason Crosby,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,17.0,17.0,K,990218030,2.0,19.0,0.0,0.0,3.0,2.0,0.0,19.0,,12,20,16673
104,201810231,1410,1,2018,2018-09-16T16:05:00,2,SF,DET,HOME,9,Robbie Gould,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,12.0,12.0,K,990218712,3.0,14.0,0.0,0.0,1.0,2.0,0.0,14.0,,31,11,16681
140,201810207,13961,1,2018,2018-09-13T20:20:00,2,CIN,BAL,HOME,4,Randy Bullock,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,10.0,10.0,K,990215845,4.0,11.0,0.0,1.0,0.0,1.0,0.0,11.0,,7,3,16670
176,201810235,14867,1,2018,2018-09-16T13:00:00,2,WAS,IND,HOME,3,Dustin Hopkins,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,K,990218150,0.0,11.0,0.0,1.0,0.0,2.0,0.0,11.0,,35,14,16679
177,201810231,549,1,2018,2018-09-16T16:05:00,2,DET,SF,AWAY,5,Matt Prater,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,9.0,9.0,K,990218711,3.0,10.0,0.0,1.0,0.0,1.0,0.0,10.0,,11,31,16681
210,201810204,12594,1,2018,2018-09-16T13:00:00,2,BUF,LAC,HOME,4,Steven Hauschka,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,K,990217948,2.0,10.0,0.0,0.0,0.0,2.0,0.0,10.0,,4,29,16672
211,201810202,10333,1,2018,2018-09-16T13:00:00,2,CAR,ATL,AWAY,9,Graham Gano,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,8.0,8.0,K,990217845,3.0,8.0,0.0,0.0,0.0,0.0,1.0,8.0,,5,2,16671
217,201810224,17215,1,2018,2018-09-16T13:00:00,2,NYJ,MIA,HOME,2,Jason Myers,K,ST,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,K,990218283,1.0,9.0,0.0,0.0,0.0,1.0,1.0,9.0,,24,19,16676
