,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,Kyle Allen,QB,CAR,261.0,4.0,0.0,26.0,19.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.34,24.34,24.34
1,Deshaun Watson,QB,HOU,351.0,3.0,0.0,34.0,25.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,25.84,25.84,25.84
2,Patrick Mahomes,QB,KAN,374.0,3.0,0.0,37.0,27.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.86,27.86,27.86
3,Matt Ryan,QB,ATL,304.0,3.0,1.0,34.0,29.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46,22.46,22.46
4,Ryan Fitzpatrick,QB,MIA,29.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,1.16,1.16
5,Jacoby Brissett,QB,IND,310.0,2.0,0.0,37.0,28.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,20.8,20.8
6,Mitchell Trubisky,QB,CHI,231.0,3.0,1.0,31.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,19.44,19.44
7,Teddy Bridgewater,QB,NOR,177.0,2.0,0.0,27.0,19.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28,16.28,16.28
8,Daniel Jones,QB,NYG,336.0,2.0,0.0,36.0,23.0,4.0,28.0,2.0,0.0,0.0,0.0,0.0,2.0,32.239999999999995,32.239999999999995,32.239999999999995
9,Jameis Winston,QB,TAM,380.0,3.0,1.0,37.0,23.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.5,25.5
10,Kirk Cousins,QB,MIN,174.0,1.0,0.0,21.0,15.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56,12.56,12.56
11,Gardner Minshew,QB,JAX,204.0,2.0,0.0,30.0,20.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17.96,17.96,17.96
12,Tom Brady,QB,NWE,306.0,2.0,0.0,42.0,28.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14,20.14,20.14
13,Derek Carr,QB,OAK,242.0,2.0,1.0,34.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68,15.68,15.68
14,Russell Wilson,QB,SEA,406.0,2.0,0.0,50.0,32.0,7.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,41.34,41.34,41.34
15,Philip Rivers,QB,LAC,318.0,2.0,0.0,46.0,31.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,19.62,19.62,19.62
16,Aaron Rodgers,QB,GNB,235.0,1.0,0.0,29.0,17.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.3,13.3
17,Carson Wentz,QB,PHI,259.0,2.0,0.0,36.0,19.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,21.66,21.66,21.66
18,Dak Prescott,QB,DAL,246.0,2.0,1.0,32.0,19.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,22.54,22.54,22.54
19,Matthew Stafford,QB,DET,201.0,1.0,0.0,32.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,12.14,12.14
20,Jimmy Garoppolo,QB,SFO,277.0,1.0,2.0,32.0,23.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.38,9.38,9.38
21,Marcus Mariota,QB,TEN,304.0,0.0,0.0,40.0,23.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,15.56,15.56
22,Mason Rudolph,QB,PIT,174.0,2.0,1.0,27.0,14.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,14.46,14.46,14.46
23,Josh Allen,QB,BUF,243.0,1.0,1.0,36.0,23.0,9.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32,16.32,16.32
24,Jared Goff,QB,LAR,268.0,2.0,2.0,38.0,24.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,14.119999999999996,14.119999999999996,14.119999999999996
25,Case Keenum,QB,WAS,332.0,2.0,3.0,43.0,30.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,11.580000000000002,11.580000000000002,11.580000000000002
26,Joe Flacco,QB,DEN,213.0,0.0,1.0,29.0,20.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.02,5.02,5.02
27,Kyler Murray,QB,ARI,173.0,2.0,2.0,43.0,30.0,8.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82,17.82,17.82
28,Lamar Jackson,QB,BAL,267.0,0.0,0.0,43.0,22.0,8.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,21.28,21.28,21.28
29,Baker Mayfield,QB,CLE,195.0,1.0,1.0,36.0,18.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.7,9.7
30,Andy Dalton,QB,CIN,250.0,1.0,2.0,36.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,16.1
31,Josh Rosen,QB,MIA,200.0,0.0,0.0,39.0,18.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,9.3
32,Luke Falk,QB,NYJ,98.0,0.0,1.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92,1.92
33,Jarrett Stidham,QB,NWE,14.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44,-1.44,-1.44
34,Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,0.0,24.0,153.0,1.0,3.0,4.0,35.0,0.0,0.0,27.8,24.8,26.3
35,Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,19.0,125.0,0.0,2.0,3.0,14.0,0.0,0.0,15.9,13.9,14.9
36,Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,16.0,110.0,1.0,4.0,5.0,33.0,0.0,0.0,24.3,20.3,22.3
37,Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,16.0,103.0,3.0,4.0,4.0,32.0,0.0,0.0,35.5,31.5,33.5
38,Tony Pollard,RB,DAL,0.0,0.0,0.0,0.0,0.0,13.0,103.0,1.0,3.0,3.0,25.0,0.0,0.0,21.8,18.8,20.3
39,Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,23.0,96.0,0.0,4.0,7.0,35.0,0.0,0.0,17.1,13.1,15.1
40,Devonta Freeman,RB,ATL,0.0,0.0,0.0,0.0,0.0,16.0,88.0,0.0,3.0,4.0,7.0,0.0,0.0,12.5,9.5,11.0
41,Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,21.0,81.0,2.0,4.0,5.0,49.0,0.0,0.0,29.0,25.0,27.0
42,Ronald Jones,RB,TAM,0.0,0.0,0.0,0.0,0.0,14.0,80.0,0.0,1.0,1.0,41.0,0.0,0.0,13.1,12.1,12.6
43,Raheem Mostert,RB,SFO,0.0,0.0,0.0,0.0,0.0,12.0,79.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9,5.9,5.9
44,Frank Gore,RB,BUF,0.0,0.0,0.0,0.0,0.0,14.0,76.0,1.0,2.0,2.0,13.0,0.0,0.0,16.9,14.9,15.9
45,Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,16.0,74.0,1.0,2.0,3.0,14.0,0.0,0.0,16.8,14.8,15.8
46,Alvin Kamara,RB,NOR,0.0,0.0,0.0,0.0,0.0,16.0,69.0,1.0,9.0,10.0,92.0,1.0,0.0,37.1,28.1,32.599999999999994
47,Matt Breida,RB,SFO,0.0,0.0,0.0,0.0,0.0,14.0,68.0,0.0,2.0,3.0,20.0,0.0,0.0,10.8,8.8,9.8
48,David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,13.0,67.0,0.0,3.0,3.0,14.0,0.0,0.0,11.1,8.1,9.6
49,Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,15.0,66.0,0.0,6.0,8.0,26.0,0.0,0.0,15.2,9.2,12.2
50,Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,15.0,63.0,0.0,4.0,5.0,10.0,0.0,0.0,11.3,7.3,9.3
51,Darrel Williams,RB,KAN,0.0,0.0,0.0,0.0,0.0,9.0,62.0,0.0,5.0,5.0,47.0,0.0,0.0,15.9,10.9,13.4
52,Joe Mixon,HB,CIN,0.0,0.0,0.0,0.0,0.0,15.0,60.0,0.0,2.0,2.0,34.0,1.0,0.0,17.4,15.4,16.4
53,Jamaal Williams,RB,GNB,0.0,0.0,0.0,0.0,0.0,12.0,59.0,0.0,2.0,2.0,27.0,0.0,0.0,10.6,8.600000000000001,9.6
54,Alexander Mattison,RB,MIN,0.0,0.0,0.0,0.0,0.0,12.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,11.8,11.8,11.8
55,LeSean McCoy,RB,KAN,0.0,0.0,0.0,0.0,0.0,8.0,54.0,1.0,3.0,3.0,26.0,1.0,0.0,23.0,20.0,21.5
56,Gus Edwards,RB,BAL,0.0,0.0,0.0,0.0,0.0,7.0,53.0,0.0,2.0,2.0,15.0,0.0,0.0,8.8,6.8,7.8
57,Miles Sanders,RB,PHI,0.0,0.0,0.0,0.0,0.0,13.0,53.0,0.0,2.0,4.0,73.0,0.0,1.0,12.6,10.6,11.6
58,Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,15.0,52.0,0.0,1.0,1.0,-2.0,0.0,1.0,4.0,3.0,3.5
59,Peyton Barber,RB,TAM,0.0,0.0,0.0,0.0,0.0,13.0,48.0,0.0,2.0,2.0,7.0,0.0,0.0,7.5,5.5,6.5
