,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,Dwayne Haskins,QB,WAS,133.0,2.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32,13.32,13.32
1,Ryan Tannehill,QB,TEN,272.0,3.0,0.0,27.0,17.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,23.680000000000003,23.680000000000003,23.680000000000003
2,Daniel Jones,QB,NYG,352.0,5.0,0.0,42.0,28.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,35.28,35.28,35.28
3,Lamar Jackson,QB,BAL,238.0,3.0,0.0,31.0,20.0,17.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,29.82,29.82,29.82
4,Drew Brees,QB,NOR,279.0,3.0,0.0,38.0,27.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,22.86,22.86
5,Derek Carr,QB,OAK,291.0,1.0,0.0,30.0,26.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,21.94,21.94,21.94
6,Michael Palardy,P,CAR,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.48
7,Kelvin Harmon,WR,WAS,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,58.0,0.0,0.0,11.24,6.24,8.74
8,Patrick Mahomes,QB,KAN,251.0,2.0,0.0,33.0,23.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,25.44,25.44,25.44
9,Tom Brady,QB,NWE,271.0,1.0,0.0,33.0,26.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24,15.24,15.24
10,Carson Wentz,QB,PHI,319.0,1.0,0.0,40.0,31.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96,18.96,18.96
11,Case Keenum,QB,WAS,158.0,1.0,0.0,22.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.42,16.42,16.42
12,Andy Dalton,QB,CIN,396.0,4.0,0.0,56.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.84,29.84,29.84
13,Mason Rudolph,QB,PIT,129.0,1.0,0.0,20.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,9.16,9.16
14,Ryan Fitzpatrick,QB,MIA,419.0,4.0,1.0,52.0,31.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,31.660000000000004,31.660000000000004,31.660000000000004
15,Josh Allen,QB,BUF,208.0,2.0,0.0,26.0,13.0,7.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,20.62,20.62,20.62
16,Drew Lock,QB,DEN,192.0,1.0,0.0,33.0,25.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68,12.68,12.68
17,Kyler Murray,QB,ARI,118.0,1.0,0.0,18.0,11.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72,12.72,12.72
18,Logan Cooke,P,JAX,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.28
19,Sam Darnold,QB,NYJ,183.0,1.0,0.0,26.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.62,9.62,9.62
20,Andrew Beck,FB/TE,DEN,6.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.64,0.64,1.14
21,Philip Rivers,QB,LAC,279.0,0.0,0.0,39.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16,11.16,11.16
22,Matt Ryan,QB,ATL,384.0,1.0,2.0,45.0,32.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.96,15.96,15.96
23,Jared Goff,QB,LAR,323.0,2.0,1.0,46.0,27.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12,20.12,20.12
24,Taysom Hill,QB,NOR,20.0,0.0,0.0,2.0,1.0,2.0,11.0,0.0,2.0,2.0,21.0,0.0,0.0,6.0,4.0,5.0
25,Baker Mayfield,QB,CLE,192.0,2.0,1.0,33.0,20.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.079999999999998,14.079999999999998,14.079999999999998
26,Russell Wilson,QB,SEA,169.0,1.0,0.0,31.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,10.96,10.96
27,David Blough,QB,DET,117.0,1.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68,8.68,8.68
28,Dak Prescott,QB,DAL,265.0,0.0,0.0,44.0,25.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,11.3
29,Gardner Minshew,QB,JAX,181.0,1.0,0.0,31.0,13.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84,14.84,14.84
30,Jimmy Garoppolo,QB,SFO,248.0,1.0,2.0,27.0,16.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.42,10.42,10.42
31,Aaron Rodgers,QB,GNB,216.0,0.0,1.0,40.0,26.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,6.34,6.34
32,Mitchell Trubisky,QB,CHI,157.0,0.0,0.0,34.0,18.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.280000000000001,8.280000000000001,8.280000000000001
33,Jacoby Brissett,QB,IND,119.0,0.0,0.0,27.0,14.0,3.0,37.0,1.0,1.0,1.0,2.0,0.0,0.0,15.66,14.66,15.16
34,Deshaun Watson,QB,HOU,184.0,0.0,1.0,32.0,19.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,9.06,9.06
35,Brett Hundley,QB,ARI,49.0,0.0,0.0,9.0,4.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,5.46,5.46
36,Kirk Cousins,QB,MIN,122.0,1.0,1.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879999999999999,6.879999999999999,6.879999999999999
37,Jameis Winston,QB,TAM,335.0,1.0,4.0,48.0,25.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0
38,Will Grier,QB,CAR,224.0,0.0,3.0,44.0,27.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,4.66,4.66
39,Stefon Diggs,WR,MIN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,57.0,1.0,0.0,14.7,11.7,13.2
40,Devlin Hodges,QB,PIT,84.0,0.0,2.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6400000000000001,-0.6400000000000001,-0.6400000000000001
41,Saquon Barkley,RB,NYG,0.0,0.0,0.0,0.0,0.0,22.0,189.0,1.0,4.0,4.0,90.0,1.0,0.0,43.9,39.9,41.9
42,Kenyan Drake,RB,ARI,0.0,0.0,0.0,0.0,0.0,24.0,166.0,2.0,3.0,4.0,18.0,0.0,0.0,33.400000000000006,30.4,31.9
43,Aaron Jones,RB,GNB,0.0,0.0,0.0,0.0,0.0,23.0,154.0,2.0,2.0,3.0,6.0,0.0,1.0,28.0,26.0,27.0
44,Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,19.0,109.0,1.0,2.0,3.0,9.0,0.0,0.0,19.8,17.799999999999997,18.8
45,Sony Michel,RB,NWE,0.0,0.0,0.0,0.0,0.0,21.0,96.0,0.0,1.0,2.0,5.0,0.0,0.0,11.1,10.1,10.6
46,Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,16.0,95.0,1.0,2.0,2.0,6.0,0.0,0.0,18.1,16.1,17.1
47,DeAndre Washington,RB,OAK,0.0,0.0,0.0,0.0,0.0,23.0,85.0,1.0,2.0,3.0,21.0,0.0,0.0,18.6,16.6,17.6
48,Jordan Wilkins,RB,IND,0.0,0.0,0.0,0.0,0.0,9.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,14.4
49,Alvin Kamara,RB,NOR,0.0,0.0,0.0,0.0,0.0,11.0,80.0,2.0,6.0,7.0,30.0,0.0,0.0,29.0,23.0,26.0
50,Miles Sanders,RB,PHI,0.0,0.0,0.0,0.0,0.0,20.0,79.0,1.0,5.0,6.0,77.0,0.0,0.0,26.6,21.6,24.1
51,Ronald Jones,RB,TAM,0.0,0.0,0.0,0.0,0.0,14.0,77.0,1.0,3.0,4.0,32.0,0.0,0.0,19.9,16.9,18.4
52,Le'Veon Bell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,25.0,72.0,0.0,4.0,4.0,21.0,0.0,0.0,13.3,9.3,11.3
53,Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,15.0,71.0,0.0,3.0,6.0,34.0,0.0,0.0,13.5,10.5,12.0
54,Dion Lewis,RB,TEN,0.0,0.0,0.0,0.0,0.0,15.0,68.0,0.0,1.0,2.0,19.0,0.0,0.0,9.7,8.7,9.2
55,Gus Edwards,RB,BAL,0.0,0.0,0.0,0.0,0.0,12.0,66.0,0.0,1.0,1.0,7.0,0.0,0.0,8.3,7.3,7.8
56,Brian Hill,RB,ATL,0.0,0.0,0.0,0.0,0.0,7.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,6.6
57,Damien Williams,RB,KAN,0.0,0.0,0.0,0.0,0.0,16.0,65.0,0.0,3.0,3.0,27.0,1.0,0.0,18.2,15.2,16.7
58,David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,13.0,57.0,0.0,1.0,1.0,2.0,0.0,0.0,6.9,5.9,6.4
59,Myles Gaskin,RB,MIA,0.0,0.0,0.0,0.0,0.0,16.0,55.0,1.0,1.0,3.0,3.0,0.0,0.0,12.8,11.8,12.3
60,Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,8.0,55.0,0.0,2.0,2.0,36.0,1.0,0.0,17.1,15.1,16.1
61,Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,0.0,13.0,54.0,0.0,15.0,15.0,119.0,0.0,0.0,32.3,17.3,24.8
62,Devonta Freeman,RB,ATL,0.0,0.0,0.0,0.0,0.0,13.0,53.0,1.0,9.0,10.0,74.0,1.0,0.0,33.7,24.700000000000003,29.200000000000003
63,Raheem Mostert,RB,SFO,0.0,0.0,0.0,0.0,0.0,11.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,11.3
64,Joe Mixon,HB,CIN,0.0,0.0,0.0,0.0,0.0,21.0,50.0,0.0,2.0,2.0,23.0,0.0,0.0,9.3,7.3,8.3
65,A.J. Brown,WR,TEN,0.0,0.0,0.0,0.0,0.0,1.0,49.0,1.0,1.0,2.0,34.0,0.0,0.0,15.3,14.3,14.8
66,Todd Gurley,RB,LAR,0.0,0.0,0.0,0.0,0.0,15.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,16.8,16.8,16.8
67,Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,13.0,47.0,0.0,7.0,7.0,37.0,0.0,0.0,15.4,8.4,11.9
68,Devin Singletary,RB,BUF,0.0,0.0,0.0,0.0,0.0,15.0,46.0,0.0,1.0,1.0,2.0,0.0,0.0,5.8,4.8,5.3
69,Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5
70,Kerryon Johnson,RB,DET,0.0,0.0,0.0,0.0,0.0,10.0,42.0,0.0,1.0,1.0,1.0,0.0,0.0,5.3,4.3,4.8
71,Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,8.0,40.0,0.0,1.0,1.0,20.0,0.0,0.0,7.0,6.0,6.5
