,Week_id,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,2019_6,Matt Ryan,QB,ATL,356.0,4.0,0.0,36.0,30.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,30.94,30.94,30.94
1,2019_6,Kirk Cousins,QB,MIN,333.0,4.0,1.0,29.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.32,27.32,27.32
2,2019_6,Kyler Murray,QB,ARI,340.0,3.0,0.0,37.0,27.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,28.8,28.8
3,2019_6,Russell Wilson,QB,SEA,295.0,2.0,0.0,33.0,23.0,9.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,28.9,28.9,28.9
4,2019_6,Sam Darnold,QB,NYJ,338.0,2.0,1.0,32.0,23.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.62,19.62,19.62
5,2019_6,Ryan Fitzpatrick,QB,MIA,132.0,1.0,0.0,18.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78,9.78,9.78
6,2019_6,Kyle Allen,QB,CAR,227.0,2.0,0.0,32.0,20.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.38,17.38,17.38
7,2019_6,Case Keenum,QB,WAS,166.0,2.0,0.0,25.0,13.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.64,15.64,15.64
8,2019_6,Patrick Mahomes,QB,KAN,273.0,3.0,1.0,35.0,19.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.82,18.82,18.82
9,2019_6,Teddy Bridgewater,QB,NOR,240.0,1.0,0.0,36.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.6
10,2019_6,Carson Wentz,QB,PHI,306.0,2.0,1.0,40.0,26.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,20.540000000000003,20.540000000000003,20.540000000000003
11,2019_6,Aaron Rodgers,QB,GNB,283.0,2.0,1.0,39.0,24.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32,18.32,18.32
12,2019_6,Dak Prescott,QB,DAL,278.0,0.0,0.0,40.0,28.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,18.22,18.22,18.22
13,2019_6,Tom Brady,QB,NWE,334.0,0.0,1.0,41.0,31.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,21.96,21.96,21.96
14,2019_6,Devlin Hodges,QB,PIT,132.0,1.0,1.0,20.0,15.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.080000000000002,8.080000000000002,8.080000000000002
15,2019_6,Lamar Jackson,QB,BAL,236.0,0.0,0.0,33.0,21.0,19.0,152.0,1.0,0.0,0.0,0.0,0.0,0.0,30.64,30.64,30.64
16,2019_6,Matthew Stafford,QB,DET,265.0,0.0,0.0,32.0,18.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.5,11.5
17,2019_6,Jimmy Garoppolo,QB,SFO,243.0,0.0,1.0,33.0,24.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,12.12,12.12,12.12
18,2019_6,Ryan Tannehill,QB,TEN,144.0,0.0,1.0,16.0,13.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.359999999999999,4.359999999999999,4.359999999999999
19,2019_6,Philip Rivers,QB,LAC,320.0,2.0,2.0,44.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.8,14.8,14.8
20,2019_6,Deshaun Watson,QB,HOU,280.0,1.0,2.0,42.0,30.0,10.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,27.4,27.4,27.4
21,2019_6,Joe Flacco,QB,DEN,177.0,0.0,1.0,28.0,18.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,4.98,4.98
22,2019_6,Andy Dalton,QB,CIN,235.0,0.0,1.0,39.0,21.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.6
23,2019_6,Jared Goff,QB,LAR,78.0,0.0,0.0,24.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.12,1.12,1.12
24,2019_6,Baker Mayfield,QB,CLE,249.0,1.0,3.0,37.0,22.0,4.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,17.46,17.46,17.46
25,2019_6,Gardner Minshew,QB,JAX,163.0,0.0,1.0,29.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.619999999999999,4.619999999999999,4.619999999999999
26,2019_6,Jameis Winston,QB,TAM,400.0,1.0,5.0,54.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.100000000000001,8.100000000000001,8.100000000000001
