,Week_id,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,2019_11,Julian Edelman,WR,NWE,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,53.0,0.0,0.0,14.9,9.9,12.4
1,2019_11,Lamar Jackson,QB,BAL,222.0,4.0,0.0,24.0,17.0,10.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78,32.78,32.78
2,2019_11,Kirk Cousins,QB,MIN,319.0,3.0,0.0,35.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.86,22.86,22.86
3,2019_11,Drew Brees,QB,NOR,228.0,3.0,0.0,35.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.12,21.12,21.12
4,2019_11,Sam Darnold,QB,NYJ,293.0,4.0,1.0,30.0,19.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.42,25.42,25.42
5,2019_11,Courtland Sutton,WR,DEN,38.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,5.0,9.0,113.0,0.0,0.0,18.82,13.82,16.32
6,2019_11,Josh Allen,QB,BUF,256.0,3.0,0.0,33.0,21.0,7.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,33.84,33.84,33.84
7,2019_11,Dak Prescott,QB,DAL,444.0,3.0,0.0,46.0,29.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,31.56,31.56,31.56
8,2019_11,Jimmy Garoppolo,QB,SFO,424.0,4.0,2.0,45.0,34.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,29.660000000000004,29.660000000000004,29.660000000000004
9,2019_11,Matt Ryan,QB,ATL,311.0,1.0,0.0,31.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.439999999999998,16.439999999999998,16.439999999999998
10,2019_11,Jeff Driskel,QB,DET,209.0,2.0,0.0,26.0,15.0,8.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,27.46,27.46,27.46
11,2019_11,Derek Carr,QB,OAK,292.0,1.0,1.0,29.0,25.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.78,19.78,19.78
12,2019_11,Kyler Murray,QB,ARI,150.0,2.0,0.0,33.0,24.0,8.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,26.7,26.7,26.7
13,2019_11,Robert Griffin,QB,BAL,15.0,0.0,0.0,2.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
14,2019_11,Baker Mayfield,QB,CLE,193.0,2.0,0.0,32.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.82,21.82,21.82
15,2019_11,Nick Foles,QB,JAX,296.0,2.0,1.0,47.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.84,17.84,17.84
16,2019_11,Ryan Fitzpatrick,QB,MIA,323.0,0.0,0.0,45.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.92,12.92,12.92
17,2019_11,Dwayne Haskins,QB,WAS,214.0,2.0,1.0,35.0,19.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.060000000000002,15.060000000000002,15.060000000000002
18,2019_11,Kenjon Barner,RB,ATL,3.0,0.0,0.0,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.62,1.62
19,2019_11,Sam Koch,P,BAL,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.08,-0.08
20,2019_11,Jacoby Brissett,QB,IND,148.0,1.0,1.0,24.0,15.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,15.12,15.12,15.12
21,2019_11,Carson Wentz,QB,PHI,214.0,1.0,0.0,40.0,20.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,12.26,12.26,12.26
22,2019_11,Patrick Mahomes,QB,KAN,182.0,1.0,1.0,32.0,19.0,5.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,15.18,15.18,15.18
23,2019_11,Jared Goff,QB,LAR,173.0,0.0,1.0,18.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,5.22,5.22
