,Week_id,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,2019_2,Patrick Mahomes,QB,KAN,443.0,4.0,0.0,44.0,30.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.62,31.62,31.62
1,2019_2,Jimmy Garoppolo,QB,SFO,296.0,3.0,1.0,25.0,17.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64,22.64,22.64
2,2019_2,Russell Wilson,QB,SEA,300.0,3.0,0.0,35.0,29.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,24.2,24.2,24.2
3,2019_2,Tom Brady,QB,NWE,264.0,2.0,0.0,28.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.660000000000004,24.660000000000004,24.660000000000004
4,2019_2,Dak Prescott,QB,DAL,269.0,3.0,1.0,30.0,26.0,5.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,27.66,27.66,27.66
5,2019_2,Dante Pettis,WR,SFO,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.64
6,2019_2,Jared Goff,QB,LAR,283.0,1.0,0.0,28.0,19.0,4.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,19.12,19.12,19.12
7,2019_2,Lamar Jackson,QB,BAL,272.0,2.0,0.0,37.0,24.0,16.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,30.880000000000003,30.880000000000003,30.880000000000003
8,2019_2,Case Keenum,QB,WAS,221.0,2.0,0.0,37.0,26.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74,16.74,16.74
9,2019_2,Jameis Winston,QB,TAM,208.0,1.0,0.0,25.0,16.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22,13.22,13.22
10,2019_2,Aaron Rodgers,QB,GNB,209.0,2.0,0.0,34.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.36,14.36,14.36
11,2019_2,Josh Allen,QB,BUF,253.0,1.0,0.0,30.0,19.0,7.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,22.22,22.22,22.22
12,2019_2,Luke Falk,QB,NYJ,198.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,7.92,7.92
13,2019_2,Gardner Minshew,QB,JAX,213.0,1.0,0.0,33.0,23.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,16.119999999999997,16.119999999999997,16.119999999999997
14,2019_2,Jacoby Brissett,QB,IND,146.0,3.0,1.0,28.0,17.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,16.34,16.34,16.34
15,2019_2,Marcus Mariota,QB,TEN,154.0,1.0,0.0,28.0,19.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,13.36,13.36,13.36
16,2019_2,Mason Rudolph,QB,PIT,112.0,2.0,1.0,19.0,12.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,11.18,11.18
17,2019_2,Matthew Stafford,QB,DET,245.0,2.0,2.0,30.0,22.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,15.1,15.1
18,2019_2,Andy Dalton,QB,CIN,311.0,2.0,1.0,42.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64,18.64,18.64
19,2019_2,Kyler Murray,QB,ARI,349.0,0.0,0.0,40.0,25.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.36,14.36,14.36
20,2019_2,Baker Mayfield,QB,CLE,325.0,1.0,1.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0
21,2019_2,Joe Flacco,QB,DEN,292.0,1.0,1.0,50.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.68,13.68,13.68
22,2019_2,Matt Ryan,QB,ATL,320.0,3.0,3.0,43.0,27.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,19.1,19.1
23,2019_2,Philip Rivers,QB,LAC,293.0,0.0,1.0,36.0,21.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,10.92,10.92
24,2019_2,Teddy Bridgewater,QB,NOR,165.0,0.0,0.0,30.0,17.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.1,7.1
25,2019_2,Josh McCown,QB,PHI,24.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.96
26,2019_2,Deshaun Watson,QB,HOU,159.0,0.0,0.0,29.0,16.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,12.86,12.86,12.86
27,2019_2,Cam Newton,QB,CAR,333.0,0.0,0.0,51.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.32,11.32,11.32
28,2019_2,Mitchell Trubisky,QB,CHI,120.0,0.0,0.0,27.0,16.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,5.6
29,2019_2,Ben Roethlisberger,QB,PIT,75.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
30,2019_2,Eli Manning,QB,NYG,250.0,1.0,2.0,45.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,10.2
31,2019_2,Carson Wentz,QB,PHI,231.0,1.0,2.0,43.0,25.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.540000000000004,15.540000000000004,15.540000000000004
32,2019_2,Derek Carr,QB,OAK,198.0,1.0,2.0,38.0,23.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72,9.72,9.72
33,2019_2,Trevor Siemian,QB,NYJ,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12
34,2019_2,Kirk Cousins,QB,MIN,230.0,1.0,2.0,32.0,14.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,8.899999999999999,8.899999999999999,8.899999999999999
35,2019_2,Drew Brees,QB,NOR,38.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.48,-0.48
36,2019_2,Josh Rosen,QB,MIA,97.0,0.0,1.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.88,1.88
37,2019_2,Ryan Fitzpatrick,QB,MIA,89.0,0.0,3.0,21.0,11.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.84,-1.84,-1.84
38,2019_2,Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,20.0,154.0,1.0,3.0,3.0,37.0,0.0,0.0,28.1,25.1,26.6
39,2019_2,Matt Breida,RB,SFO,0.0,0.0,0.0,0.0,0.0,12.0,121.0,0.0,1.0,1.0,11.0,0.0,0.0,14.2,13.2,13.7
40,2019_2,Aaron Jones,RB,GNB,0.0,0.0,0.0,0.0,0.0,23.0,116.0,1.0,4.0,6.0,34.0,0.0,0.0,25.0,21.0,23.0
41,2019_2,Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,23.0,111.0,1.0,2.0,2.0,9.0,0.0,0.0,20.0,18.0,19.0
42,2019_2,Saquon Barkley,RB,NYG,0.0,0.0,0.0,0.0,0.0,18.0,107.0,1.0,3.0,7.0,28.0,0.0,0.0,22.5,19.5,21.0
43,2019_2,Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,12.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.9,9.9
44,2019_2,Carlos Hyde,RB,HOU,0.0,0.0,0.0,0.0,0.0,20.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0
45,2019_2,Sony Michel,RB,NWE,0.0,0.0,0.0,0.0,0.0,21.0,83.0,1.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,12.3
46,2019_2,Raheem Mostert,RB,SFO,0.0,0.0,0.0,0.0,0.0,13.0,83.0,0.0,3.0,4.0,68.0,1.0,0.0,24.1,21.1,22.6
47,2019_2,Peyton Barber,RB,TAM,0.0,0.0,0.0,0.0,0.0,23.0,82.0,1.0,1.0,1.0,7.0,0.0,0.0,15.9,14.9,15.4
48,2019_2,Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,0.0,15.0,82.0,1.0,2.0,3.0,12.0,0.0,0.0,17.4,15.4,16.4
49,2019_2,Jordan Wilkins,RB,IND,0.0,0.0,0.0,0.0,0.0,5.0,82.0,0.0,1.0,1.0,4.0,0.0,0.0,9.6,8.6,9.1
50,2019_2,Le'Veon Bell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,21.0,68.0,0.0,10.0,10.0,61.0,0.0,1.0,20.9,10.9,15.9
51,2019_2,Frank Gore,RB,BUF,0.0,0.0,0.0,0.0,0.0,19.0,68.0,1.0,2.0,2.0,15.0,0.0,0.0,16.3,14.3,15.3
52,2019_2,Austin Ekeler,RB,LAC,0.0,0.0,0.0,0.0,0.0,17.0,66.0,1.0,6.0,6.0,67.0,0.0,1.0,23.3,17.3,20.3
53,2019_2,Todd Gurley,RB,LAR,0.0,0.0,0.0,0.0,0.0,16.0,63.0,1.0,3.0,4.0,4.0,0.0,0.0,15.7,12.7,14.2
54,2019_2,Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,18.0,62.0,1.0,4.0,4.0,36.0,0.0,0.0,19.8,15.8,17.799999999999997
55,2019_2,David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,18.0,62.0,1.0,1.0,3.0,6.0,0.0,0.0,13.8,12.8,13.3
56,2019_2,Rashaad Penny,RB,SEA,0.0,0.0,0.0,0.0,0.0,10.0,62.0,1.0,1.0,1.0,3.0,0.0,0.0,13.5,12.5,13.0
57,2019_2,Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,15.0,60.0,0.0,3.0,3.0,27.0,0.0,1.0,9.7,6.699999999999999,8.2
58,2019_2,Justin Jackson,RB,LAC,0.0,0.0,0.0,0.0,0.0,7.0,59.0,0.0,1.0,1.0,5.0,0.0,0.0,7.4,6.4,6.9
59,2019_2,Devin Singletary,RB,BUF,0.0,0.0,0.0,0.0,0.0,6.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,11.7,11.7,11.7
60,2019_2,Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,11.0,54.0,0.0,5.0,7.0,48.0,0.0,0.0,15.2,10.2,12.7
61,2019_2,Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,20.0,51.0,0.0,2.0,3.0,12.0,0.0,0.0,8.3,6.3,7.3
