,week_id,unique_id,player_name,position,injury_status,predicted,actual,performance,performance_difference
0,2019_01,saquonbarkley,Saquon Barkley,rb,0,23.115309344000003,17.9,1,-5.215309344000005
1,2019_01,alvinkamara,Alvin Kamara,rb,0,21.168969965,23.9,0,2.731030035
2,2019_01,jameswhite,James White,flex,0,13.946106435,13.2,1,-0.7461064350000015
3,2019_01,tylerboyd,Tyler Boyd,wr,0,14.1355637949,14.3,0,0.16443620510000123
4,2019_01,jaredgoff,Jared Goff,qb,0,17.2441300371,9.44,1,-7.8041300371
5,2019_01,austinhooper,Austin Hooper,te,0,9.3281575482,16.7,0,7.371842451799999
6,2019_01,marquezvaldes-scantling,Marquez Valdes-Scantling,bench,0,8.848491298999999,9.2,0,0.3515087010000002
7,2019_01,jordanhoward,Jordan Howard,bench,1,8.8358438786,7.5,1,-1.3358438786000004
8,2019_01,dontemoncrief,Donte Moncrief,flex,0,9.860879988,3.7,1,-6.1608799880000005
9,2019_01,michaelgallup,Michael Gallup,wr,0,10.025585721,22.8,0,12.774414279
10,2019_01,giovanibernard,Giovani Bernard,bench,0,8.714693907,8.3,1,-0.4146939069999984
11,2019_01,frankgore,Frank Gore,bench,0,6.410121954,2.0,1,-4.410121954
12,2019_01,t.j.hockenson,T.J. Hockenson,bench,1,7.051754304,25.1,0,18.048245696000002
13,2019_01,davidjohnson,David Johnson,rb,0,19.411101584000004,25.700000000000003,0,6.2888984159999985
14,2019_01,brandincooks,Brandin Cooks,wr,0,14.4448739558,5.9,1,-8.5448739558
15,2019_01,mikeevans,Mike Evans,wr,1,15.970178675,4.800000000000001,1,-11.170178674999999
16,2019_01,markingramii,Mark Ingram II,rb,0,14.348674559999996,22.700000000000003,0,8.351325440000007
17,2019_01,jameiswinston,Jameis Winston,qb,1,18.801919017,7.06,1,-11.741919017
18,2019_01,nyheimhines,Nyheim Hines,bench,0,7.513730299,5.7,1,-1.8137302989999995
19,2019_01,malcolmbrown,Malcolm Brown,bench,0,2.4735649615,17.3,0,14.826435038500001
20,2019_01,keeseanjohnson,KeeSean Johnson,flex,0,3.8783303398,9.6,0,5.7216696602
21,2019_01,rashardhiggins,Rashard Higgins,bench,0,7.484435894000001,6.6000000000000005,1,-0.8844358940000001
22,2019_01,alexandermattison,Alexander Mattison,bench,0,3.3032015940000004,4.9,0,1.596798406
23,2019_01,n'kealharry,N'Keal Harry,ir,0,0.0,0.0,1,0.0
24,2019_01,kylermurray,Kyler Murray,bench,0,17.883930577999998,21.62,0,3.7360694220000035
25,2019_01,t.y.hilton,T.Y. Hilton,flex,0,12.778991723,28.700000000000003,0,15.921008277000002
26,2019_01,gregolsen,Greg Olsen,te,0,8.413158395,7.6,1,-0.8131583950000003
27,2019_01,toddgurleyii,Todd Gurley II,rb,0,16.979200933999998,11.1,1,-5.879200933999998
28,2019_01,keenanallen,Keenan Allen,wr,0,15.9350595261,26.3,0,10.3649404739
29,2019_01,tylerlockett,Tyler Lockett,wr,0,12.711331242000002,11.4,1,-1.3113312420000014
30,2019_01,adamthielen,Adam Thielen,flex,0,15.272118359199998,13.3,1,-1.9721183591999978
31,2019_01,carsonwentz,Carson Wentz,qb,1,19.252510704,25.02,0,5.767489296000001
32,2019_01,robbyanderson,Robby Anderson,flex,0,11.4139816439,5.300000000000001,1,-6.113981643899999
33,2019_01,kenyandrake,Kenyan Drake,rb,0,13.131430247,4.7,1,-8.431430247000002
34,2019_01,derriusguice,Derrius Guice,bench,0,12.716159191,6.8,1,-5.916159190999999
35,2019_01,hunterhenry,Hunter Henry,te,0,9.973743067,10.0,0,0.02625693300000087
36,2019_01,kareemhunt,Kareem Hunt,bench,0,0.0,0.0,1,0.0
37,2019_01,justinjackson,Justin Jackson,bench,0,9.032645726,7.1000000000000005,1,-1.9326457259999996
38,2019_01,darrellhendersonjr.,Darrell Henderson Jr.,bench,1,5.883932789,0.0,1,-5.883932789
39,2019_01,benroethlisberger,Ben Roethlisberger,bench,1,17.3731268619,9.740000000000002,1,-7.633126861899999
40,2019_01,christianmccaffrey,Christian McCaffrey,rb,0,20.959282922000003,42.9,0,21.940717077999995
41,2019_01,patrickmahomes,Patrick Mahomes,qb,0,19.907314699,27.32,0,7.412685301
42,2019_01,chriscarson,Chris Carson,rb,1,15.637184675,24.0,0,8.362815325
43,2019_01,dedewestbrook,Dede Westbrook,wr,0,12.533759862999998,14.2,0,1.6662401370000008
44,2019_01,o.j.howard,O.J. Howard,te,0,10.321463142,5.2,1,-5.1214631420000005
45,2019_01,tonypollard,Tony Pollard,bench,0,4.678987622200001,2.4000000000000004,1,-2.2789876222000007
46,2019_01,lamarjackson,Lamar Jackson,bench,0,18.852493907000003,33.56,0,14.707506093
47,2019_01,peytonbarber,Peyton Barber,bench,0,9.360197641,6.500000000000001,1,-2.8601976409999983
48,2019_01,sammywatkins,Sammy Watkins,wr,0,10.7171153977,46.8,0,36.0828846023
49,2019_01,curtissamuel,Curtis Samuel,bench,0,10.2443867125,6.2,1,-4.044386712500001
50,2019_01,marvinjonesjr.,Marvin Jones Jr.,flex,1,12.188846924,10.0,1,-2.188846924
51,2019_01,tyrellwilliams,Tyrell Williams,flex,1,12.449865289,22.5,0,10.050134711
52,2019_01,marquisegoodwin,Marquise Goodwin,bench,1,6.627318239000001,1.7000000000000002,1,-4.927318239000001
53,2019_01,julianedelman,Julian Edelman,flex,1,16.3783064643,16.380000000000003,0,0.0016935357000029683
54,2019_01,evanengram,Evan Engram,te,1,11.9676820396,28.6,0,16.6323179604
