,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,Patrick Mahomes,QB,KAN,443.0,4.0,0.0,44.0,30.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.62,31.62,31.62
1,Jimmy Garoppolo,QB,SFO,296.0,3.0,1.0,25.0,17.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64,22.64,22.64
2,Russell Wilson,QB,SEA,300.0,3.0,0.0,35.0,29.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,24.2,24.2,24.2
3,Tom Brady,QB,NWE,264.0,2.0,0.0,28.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.660000000000004,24.660000000000004,24.660000000000004
4,Dak Prescott,QB,DAL,269.0,3.0,1.0,30.0,26.0,5.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,27.66,27.66,27.66
5,Dante Pettis,WR,SFO,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.64
6,Jared Goff,QB,LAR,283.0,1.0,0.0,28.0,19.0,4.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,19.12,19.12,19.12
7,Lamar Jackson,QB,BAL,272.0,2.0,0.0,37.0,24.0,16.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,30.880000000000003,30.880000000000003,30.880000000000003
8,Case Keenum,QB,WAS,221.0,2.0,0.0,37.0,26.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74,16.74,16.74
9,Jameis Winston,QB,TAM,208.0,1.0,0.0,25.0,16.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22,13.22,13.22
10,Aaron Rodgers,QB,GNB,209.0,2.0,0.0,34.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.36,14.36,14.36
11,Josh Allen,QB,BUF,253.0,1.0,0.0,30.0,19.0,7.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,22.22,22.22,22.22
12,Luke Falk,QB,NYJ,198.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,7.92,7.92
13,Gardner Minshew,QB,JAX,213.0,1.0,0.0,33.0,23.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,16.119999999999997,16.119999999999997,16.119999999999997
14,Jacoby Brissett,QB,IND,146.0,3.0,1.0,28.0,17.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,16.34,16.34,16.34
15,Marcus Mariota,QB,TEN,154.0,1.0,0.0,28.0,19.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,13.36,13.36,13.36
16,Mason Rudolph,QB,PIT,112.0,2.0,1.0,19.0,12.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,11.18,11.18
17,Matthew Stafford,QB,DET,245.0,2.0,2.0,30.0,22.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,15.1,15.1
18,Andy Dalton,QB,CIN,311.0,2.0,1.0,42.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64,18.64,18.64
19,Kyler Murray,QB,ARI,349.0,0.0,0.0,40.0,25.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.36,14.36,14.36
20,Baker Mayfield,QB,CLE,325.0,1.0,1.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0
21,Joe Flacco,QB,DEN,292.0,1.0,1.0,50.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.68,13.68,13.68
22,Matt Ryan,QB,ATL,320.0,3.0,3.0,43.0,27.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,19.1,19.1
23,Philip Rivers,QB,LAC,293.0,0.0,1.0,36.0,21.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,10.92,10.92
