,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,Danny Amendola,WR,DET,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,16.0,0.0,0.0,8.36,6.359999999999999,7.359999999999999
1,Dak Prescott,QB,DAL,303.0,4.0,0.0,33.0,23.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,29.62,29.62,29.62
2,Ryan Tannehill,QB,TEN,198.0,2.0,0.0,20.0,13.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92,17.92,17.92
3,Drew Brees,QB,NOR,253.0,3.0,0.0,30.0,19.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.02,22.02,22.02
4,Teddy Bridgewater,QB,NOR,14.0,0.0,0.0,1.0,1.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.26
5,Jimmy Garoppolo,QB,SFO,285.0,0.0,0.0,22.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,11.8,11.8
6,Marcus Mariota,QB,TEN,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.96
7,Jared Goff,QB,LAR,319.0,3.0,0.0,45.0,29.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.16,25.16,25.16
8,Gardner Minshew,QB,JAX,295.0,3.0,1.0,39.0,27.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,22.5
9,Ryan Fitzpatrick,QB,MIA,320.0,1.0,0.0,41.0,28.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,24.3,24.3,24.3
10,Derek Carr,QB,OAK,391.0,1.0,0.0,46.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64,19.64,19.64
11,Russell Wilson,QB,SEA,233.0,2.0,0.0,40.0,25.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22,20.22,20.22
12,Drew Lock,QB,DEN,177.0,1.0,0.0,28.0,17.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,11.98,11.98,11.98
13,Tom Brady,QB,NWE,221.0,2.0,1.0,29.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84,14.84,14.84
14,Carson Wentz,QB,PHI,289.0,1.0,0.0,40.0,23.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.060000000000002,17.060000000000002,17.060000000000002
15,Albert Wilson,WR,MIA,20.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,8.0,59.0,0.0,0.0,11.7,6.7,9.2
16,Mitchell Trubisky,QB,CHI,207.0,0.0,0.0,37.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.379999999999999,6.379999999999999,6.379999999999999
17,Matt Ryan,QB,ATL,313.0,1.0,0.0,51.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.52,14.52,14.52
18,Kyler Murray,QB,ARI,325.0,2.0,2.0,42.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,13.0,13.0
19,Patrick Mahomes,QB,KAN,174.0,1.0,1.0,25.0,16.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06,11.06,11.06
20,Philip Rivers,QB,LAC,281.0,2.0,2.0,46.0,31.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.740000000000002,15.740000000000002,15.740000000000002
21,Baker Mayfield,QB,CLE,279.0,3.0,3.0,27.0,12.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,20.06,20.06,20.06
22,Brett Hundley,QB,ARI,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
23,Daniel Jones,QB,NYG,301.0,1.0,1.0,47.0,28.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,14.64,14.64,14.64
24,Sam Darnold,QB,NYJ,199.0,1.0,1.0,36.0,23.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.760000000000002,9.760000000000002,9.760000000000002
25,Jameis Winston,QB,TAM,201.0,2.0,2.0,24.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.54,12.54
26,Andy Dalton,QB,CIN,190.0,1.0,1.0,28.0,16.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,16.6,16.6,16.6
27,Kyle Allen,QB,CAR,295.0,0.0,1.0,41.0,25.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,10.3
28,Aaron Rodgers,QB,GNB,323.0,2.0,1.0,55.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.020000000000003,19.020000000000003,19.020000000000003
29,Jacoby Brissett,QB,IND,162.0,0.0,0.0,25.0,12.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,4.18,4.18,4.18
30,A.J. McCarron,QB,HOU,225.0,0.0,1.0,36.0,21.0,5.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,16.9
31,Josh Allen,QB,BUF,5.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
32,Case Keenum,QB,WAS,206.0,1.0,1.0,37.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24,10.24,10.24
33,Matt Barkley,QB,BUF,232.0,0.0,2.0,35.0,18.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.879999999999999,2.879999999999999,2.879999999999999
34,Devlin Hodges,QB,PIT,95.0,0.0,0.0,25.0,9.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6999999999999995,1.6999999999999995,1.6999999999999995
35,Robert Griffin,QB,BAL,96.0,0.0,1.0,21.0,11.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,6.84,6.84
