,Week_id,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,2019_12,Ryan Tannehill,QB,TEN,259.0,2.0,0.0,18.0,14.0,7.0,40.0,2.0,0.0,0.0,0.0,0.0,1.0,32.36,32.36,32.36
1,2019_12,Jimmy Garoppolo,QB,SFO,253.0,2.0,0.0,20.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.22,18.22,18.22
2,2019_12,Lamar Jackson,QB,BAL,169.0,5.0,0.0,20.0,15.0,8.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26,36.26,36.26
3,2019_12,Sam Darnold,QB,NYJ,315.0,2.0,0.0,29.0,20.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,28.200000000000003,28.200000000000003,28.200000000000003
4,2019_12,Baker Mayfield,QB,CLE,327.0,3.0,1.0,34.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58,23.58,23.58
5,2019_12,Devlin Hodges,QB,PIT,118.0,1.0,0.0,11.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.819999999999999,8.819999999999999,8.819999999999999
6,2019_12,Drew Brees,QB,NOR,311.0,3.0,1.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,22.44,22.44
7,2019_12,Kyle Allen,QB,CAR,256.0,3.0,0.0,36.0,23.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.14,23.14,23.14
8,2019_12,Matt Schaub,QB,ATL,55.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,6.2
9,2019_12,Jameis Winston,QB,TAM,313.0,3.0,2.0,28.0,18.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,24.32,24.32
10,2019_12,Deshaun Watson,QB,HOU,298.0,2.0,1.0,30.0,19.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92,18.92,18.92
11,2019_12,Josh Allen,QB,BUF,185.0,2.0,1.0,25.0,15.0,9.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0
12,2019_12,Daniel Jones,QB,NYG,150.0,2.0,0.0,36.0,21.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,14.7,14.7,14.7
13,2019_12,Ryan Finley,QB,CIN,192.0,1.0,0.0,26.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,10.48,10.48,10.48
14,2019_12,Robert Griffin,QB,BAL,39.0,0.0,0.0,3.0,1.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.26,1.26
15,2019_12,Nick Foles,QB,JAX,272.0,0.0,0.0,48.0,32.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,12.88,12.88
16,2019_12,Tim Boyle,QB,GNB,15.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
17,2019_12,Jacoby Brissett,QB,IND,129.0,0.0,0.0,25.0,16.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,13.16,13.16,13.16
18,2019_12,Aaron Rodgers,QB,GNB,104.0,1.0,0.0,33.0,20.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,7.460000000000001,7.460000000000001,7.460000000000001
19,2019_12,Carson Wentz,QB,PHI,256.0,1.0,2.0,45.0,33.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,8.940000000000001,8.940000000000001,8.940000000000001
20,2019_12,Russell Wilson,QB,SEA,200.0,1.0,1.0,25.0,13.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,9.5
21,2019_12,Tom Brady,QB,NWE,190.0,1.0,0.0,37.0,17.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,11.3
22,2019_12,Mitchell Trubisky,QB,CHI,278.0,1.0,2.0,41.0,25.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,18.92,18.92,18.92
23,2019_12,Ryan Fitzpatrick,QB,MIA,214.0,2.0,2.0,39.0,21.0,5.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,23.06,23.06,23.06
24,2019_12,Dak Prescott,QB,DAL,212.0,0.0,1.0,33.0,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.880000000000001,6.880000000000001,6.880000000000001
25,2019_12,Mike Glennon,QB,OAK,20.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2,-1.2,-1.2
26,2019_12,Jared Goff,QB,LAR,212.0,0.0,2.0,37.0,26.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.380000000000001,4.380000000000001,4.380000000000001
27,2019_12,Matt Ryan,QB,ATL,271.0,0.0,1.0,46.0,23.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,7.640000000000001,7.640000000000001,7.640000000000001
28,2019_12,Derek Carr,QB,OAK,127.0,0.0,1.0,27.0,15.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,4.18,4.18
29,2019_12,Jeff Driskel,QB,DET,207.0,1.0,3.0,33.0,20.0,9.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,12.579999999999998,12.579999999999998,12.579999999999998
30,2019_12,Dwayne Haskins,QB,WAS,156.0,0.0,1.0,29.0,13.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,5.039999999999999,5.039999999999999,5.039999999999999
31,2019_12,Mason Rudolph,QB,PIT,85.0,0.0,1.0,16.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.7999999999999998,1.7999999999999998
32,2019_12,Steven Sims,WR,WAS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2019_12,Brandon Allen,QB,DEN,82.0,0.0,1.0,25.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2.08,2.08
34,2019_12,Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,0.0,19.0,159.0,2.0,1.0,1.0,16.0,0.0,1.0,28.5,27.5,28.0
35,2019_12,Rashaad Penny,RB,SEA,0.0,0.0,0.0,0.0,0.0,14.0,129.0,1.0,0.0,0.0,0.0,0.0,0.0,18.9,18.9,18.9
36,2019_12,Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,15.0,111.0,1.0,1.0,1.0,7.0,1.0,0.0,24.8,23.8,24.3
37,2019_12,Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,21.0,106.0,1.0,3.0,3.0,58.0,0.0,0.0,25.4,22.4,23.9
38,2019_12,Devin Singletary,RB,BUF,0.0,0.0,0.0,0.0,0.0,21.0,106.0,0.0,1.0,2.0,8.0,0.0,0.0,12.4,11.4,11.9
39,2019_12,Jonathan Williams,RB,IND,0.0,0.0,0.0,0.0,0.0,26.0,104.0,1.0,3.0,3.0,17.0,0.0,0.0,21.1,18.1,19.6
40,2019_12,Bo Scarbrough,RB,DET,0.0,0.0,0.0,0.0,0.0,18.0,98.0,0.0,0.0,0.0,0.0,0.0,1.0,7.800000000000001,7.800000000000001,7.800000000000001
41,2019_12,Benny Snell,RB,PIT,0.0,0.0,0.0,0.0,0.0,21.0,98.0,0.0,1.0,1.0,5.0,0.0,0.0,11.3,10.3,10.8
42,2019_12,Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,24.0,97.0,2.0,9.0,12.0,62.0,0.0,0.0,36.9,27.9,32.4
43,2019_12,Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,21.0,86.0,0.0,4.0,4.0,40.0,0.0,0.0,16.6,12.6,14.6
44,2019_12,Sony Michel,RB,NWE,0.0,0.0,0.0,0.0,0.0,20.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5
45,2019_12,Joe Mixon,HB,CIN,0.0,0.0,0.0,0.0,0.0,18.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,7.9,7.9
46,2019_12,Carlos Hyde,RB,HOU,0.0,0.0,0.0,0.0,0.0,16.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,6.7
47,2019_12,Frank Gore,RB,BUF,0.0,0.0,0.0,0.0,0.0,15.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5
48,2019_12,Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,0.0,22.0,64.0,1.0,9.0,9.0,69.0,1.0,0.0,34.3,25.3,29.8
49,2019_12,Latavius Murray,RB,NOR,0.0,0.0,0.0,0.0,0.0,7.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,12.4,12.4,12.4
50,2019_12,Miles Sanders,RB,PHI,0.0,0.0,0.0,0.0,0.0,12.0,63.0,0.0,3.0,5.0,23.0,0.0,0.0,11.6,8.6,10.1
51,2019_12,Saquon Barkley,RB,NYG,0.0,0.0,0.0,0.0,0.0,17.0,59.0,0.0,2.0,3.0,1.0,0.0,0.0,8.0,6.0,7.0
52,2019_12,Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,13.0,57.0,0.0,1.0,3.0,11.0,0.0,0.0,7.800000000000001,6.800000000000001,7.300000000000001
53,2019_12,Gus Edwards,RB,BAL,0.0,0.0,0.0,0.0,0.0,14.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,5.5
54,2019_12,Alvin Kamara,RB,NOR,0.0,0.0,0.0,0.0,0.0,11.0,54.0,0.0,9.0,9.0,48.0,0.0,0.0,19.2,10.2,14.7
55,2019_12,Nyheim Hines,RB,IND,0.0,0.0,0.0,0.0,0.0,9.0,51.0,0.0,2.0,3.0,10.0,0.0,0.0,8.1,6.1,7.1
56,2019_12,Ronald Jones,RB,TAM,0.0,0.0,0.0,0.0,0.0,12.0,51.0,1.0,3.0,3.0,16.0,0.0,0.0,15.7,12.7,14.2
57,2019_12,Le'Veon Bell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,12.0,49.0,0.0,5.0,5.0,59.0,0.0,0.0,15.8,10.8,13.3
58,2019_12,Raheem Mostert,RB,SFO,0.0,0.0,0.0,0.0,0.0,6.0,45.0,1.0,1.0,3.0,22.0,0.0,0.0,13.7,12.7,13.2
59,2019_12,Jamaal Williams,RB,GNB,0.0,0.0,0.0,0.0,0.0,11.0,45.0,0.0,7.0,8.0,35.0,0.0,0.0,15.0,8.0,11.5
60,2019_12,Kerrith Whyte,RB,PIT,0.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.3,4.3
61,2019_12,Curtis Samuel,WR,CAR,0.0,0.0,0.0,0.0,0.0,4.0,40.0,0.0,1.0,4.0,9.0,0.0,0.0,5.9,4.9,5.4
62,2019_12,Tevin Coleman,RB,SFO,0.0,0.0,0.0,0.0,0.0,11.0,39.0,1.0,2.0,4.0,10.0,0.0,0.0,12.9,10.9,11.9
63,2019_12,Aaron Jones,RB,GNB,0.0,0.0,0.0,0.0,0.0,13.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,3.8
64,2019_12,Kareem Hunt,RB,CLE,0.0,0.0,0.0,0.0,0.0,8.0,37.0,1.0,2.0,3.0,9.0,0.0,0.0,12.6,10.6,11.6
65,2019_12,Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,10.0,34.0,0.0,1.0,1.0,2.0,0.0,0.0,4.6,3.6,4.1
66,2019_12,Peyton Barber,RB,TAM,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,3.2
67,2019_12,Derrius Guice,RB,WAS,0.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,1.0,2.0,6.0,0.0,0.0,4.800000000000001,3.8,4.300000000000001
68,2019_12,Justice Hill,RB,BAL,0.0,0.0,0.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,2.7
69,2019_12,Adrian Peterson,RB,WAS,0.0,0.0,0.0,0.0,0.0,10.0,27.0,0.0,1.0,1.0,22.0,0.0,0.0,5.9,4.9,5.4
70,2019_12,Jeff Wilson,RB,SFO,0.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,2.7
71,2019_12,Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,8.0,26.0,0.0,4.0,4.0,31.0,0.0,0.0,9.7,5.7,7.7
72,2019_12,Tarik Cohen,RB,CHI,0.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,7.0,9.0,29.0,0.0,0.0,12.4,5.4,8.9
73,2019_12,Robert Foster,WR,BUF,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,1.0,1.0,24.0,0.0,0.0,5.6,4.6,5.1
74,2019_12,Todd Gurley,RB,LAR,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,3.0,3.0,-3.0,0.0,0.0,4.9,1.9,3.4000000000000004
75,2019_12,Duke Johnson,RB,HOU,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,1.0,1.0,8.0,0.0,0.0,4.0,3.0,3.5
76,2019_12,David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,2.0,3.0,9.0,0.0,0.0,5.1,3.1,4.1
77,2019_12,Sterling Shepard,WR,NYG,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,5.0,9.0,15.0,0.0,0.0,8.7,3.7,6.2
78,2019_12,Allen Lazard,WR,GNB,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,1.0,2.0,7.0,0.0,0.0,3.8,2.8,3.3
79,2019_12,Dion Lewis,RB,TEN,0.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,1.0,2.0,24.0,0.0,0.0,5.5,4.5,5.0
80,2019_12,Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,2.0,2.0,9.0,0.0,0.0,4.9,2.9,3.9
81,2019_12,Patrick Laird,RB,MIA,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
82,2019_12,Qadree Ollison,RB,ATL,0.0,0.0,0.0,0.0,0.0,8.0,20.0,1.0,1.0,1.0,7.0,0.0,0.0,9.7,8.7,9.2
83,2019_12,Tony Pollard,RB,DAL,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,3.0,4.0,9.0,0.0,0.0,5.8,2.8,4.3
84,2019_12,DeAndre Washington,RB,OAK,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,2.9,1.9,2.4
85,2019_12,Jay Ajayi,RB,PHI,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6
86,2019_12,Bilal Powell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,1.0,2.0,5.0,0.0,0.0,3.0,2.0,2.5
87,2019_12,Calvin Ridley,WR,ATL,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,6.0,14.0,85.0,1.0,0.0,22.0,16.0,19.0
88,2019_12,Brian Hill,RB,ATL,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,3.0,4.0,13.0,0.0,0.0,5.7,2.7,4.2
89,2019_12,Kalen Ballage,RB,MIA,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,1.0,1.0,13.0,0.0,0.0,3.6,2.6,3.1
90,2019_12,Dare Ogunbowale,RB,TAM,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2
91,2019_12,Brandon Bolden,RB,NWE,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1
92,2019_12,Ty Johnson,RB,DET,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,2.0,2.0,10.0,0.0,0.0,4.1,2.1,3.1
93,2019_12,Myles Gaskin,RB,MIA,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,1.0,1.0,7.0,0.0,0.0,2.7,1.7,2.2
94,2019_12,D.J. Moore,WR,CAR,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,6.0,9.0,126.0,2.0,0.0,31.4,25.4,28.4
95,2019_12,Trey Edmunds,RB,PIT,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7
