,Week,Team,Player,Slot,Pos,Status,Proj,Actual
78,1,7,Mark Andrews,20,Bench,ACTIVE,8.519612818999999,24.8
79,1,8,Le'Veon Bell,2,RB,ACTIVE,15.869068654000001,23.2
80,1,8,Aaron Rodgers,20,Bench,ACTIVE,15.944781335999998,12.920000000000002
81,1,8,Michael Thomas,4,WR,ACTIVE,18.515716792000003,22.3
82,1,8,Josh Jacobs,2,RB,QUESTIONABLE,15.641104302,24.3
83,1,8,Marlon Mack,23,Flex,ACTIVE,11.048374284,25.400000000000002
84,1,8,Mike Williams,4,WR,ACTIVE,12.6707992318,4.9
85,1,8,Rashaad Penny,23,Flex,QUESTIONABLE,9.179991545999998,1.8
86,1,8,Delanie Walker,6,TE,QUESTIONABLE,9.348344113,22.5
87,1,8,David Njoku,20,Bench,ACTIVE,8.833058005,13.7
88,1,8,Mohamed Sanu Sr.,20,Bench,QUESTIONABLE,9.2034984785,10.7
89,1,8,Mitchell Trubisky,0,QB,QUESTIONABLE,18.356920328999998,8.22
90,1,8,Adam Humphries,20,Bench,ACTIVE,9.0569054445,1.5
91,1,8,Chris Conley,20,Bench,ACTIVE,9.122114065000002,21.700000000000003
92,1,9,Travis Kelce,6,TE,ACTIVE,16.695729236000002,11.8
93,1,9,Stefon Diggs,4,WR,ACTIVE,14.331195488,5.7
94,1,9,Chris Godwin,4,WR,QUESTIONABLE,12.59416925,14.3
95,1,9,Nick Chubb,23,Flex,ACTIVE,17.655834067,11.5
96,1,9,Aaron Jones,2,RB,ACTIVE,12.515832916,4.9
97,1,9,David Montgomery,2,RB,ACTIVE,11.130663292999998,5.5
98,1,9,Duke Johnson,23,Flex,ACTIVE,12.313012123,13.0
99,1,9,Kirk Cousins,0,QB,ACTIVE,17.3255872695,14.32
100,1,9,Latavius Murray,20,Bench,ACTIVE,8.340435077999999,12.700000000000001
101,1,9,Kenny Stills,20,Bench,ACTIVE,6.93855345,12.7
102,1,9,Justice Hill,20,Bench,ACTIVE,3.4502082817,2.7
103,1,9,Dion Lewis,20,Bench,ACTIVE,8.114425023,4.300000000000001
104,1,9,John Brown,20,Bench,ACTIVE,8.5966898074,25.3
105,1,10,Melvin Gordon,20,Bench,ACTIVE,0.0,0.0
106,1,10,JuJu Smith-Schuster,4,WR,ACTIVE,18.039474586,13.8
