,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,Ryan Tannehill,QB,TEN,259.0,2.0,0.0,18.0,14.0,7.0,40.0,2.0,0.0,0.0,0.0,0.0,1.0,32.36,32.36,32.36
1,Jimmy Garoppolo,QB,SFO,253.0,2.0,0.0,20.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.22,18.22,18.22
2,Lamar Jackson,QB,BAL,169.0,5.0,0.0,20.0,15.0,8.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26,36.26,36.26
3,Sam Darnold,QB,NYJ,315.0,2.0,0.0,29.0,20.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,28.200000000000003,28.200000000000003,28.200000000000003
4,Baker Mayfield,QB,CLE,327.0,3.0,1.0,34.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58,23.58,23.58
5,Devlin Hodges,QB,PIT,118.0,1.0,0.0,11.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.819999999999999,8.819999999999999,8.819999999999999
6,Drew Brees,QB,NOR,311.0,3.0,1.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,22.44,22.44
7,Kyle Allen,QB,CAR,256.0,3.0,0.0,36.0,23.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.14,23.14,23.14
8,Matt Schaub,QB,ATL,55.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,6.2
9,Jameis Winston,QB,TAM,313.0,3.0,2.0,28.0,18.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,24.32,24.32
10,Deshaun Watson,QB,HOU,298.0,2.0,1.0,30.0,19.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92,18.92,18.92
11,Josh Allen,QB,BUF,185.0,2.0,1.0,25.0,15.0,9.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0
12,Daniel Jones,QB,NYG,150.0,2.0,0.0,36.0,21.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,14.7,14.7,14.7
13,Ryan Finley,QB,CIN,192.0,1.0,0.0,26.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,10.48,10.48,10.48
14,Robert Griffin,QB,BAL,39.0,0.0,0.0,3.0,1.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.26,1.26
15,Nick Foles,QB,JAX,272.0,0.0,0.0,48.0,32.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,12.88,12.88
16,Tim Boyle,QB,GNB,15.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
17,Jacoby Brissett,QB,IND,129.0,0.0,0.0,25.0,16.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,13.16,13.16,13.16
18,Aaron Rodgers,QB,GNB,104.0,1.0,0.0,33.0,20.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,7.460000000000001,7.460000000000001,7.460000000000001
19,Carson Wentz,QB,PHI,256.0,1.0,2.0,45.0,33.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,8.940000000000001,8.940000000000001,8.940000000000001
20,Russell Wilson,QB,SEA,200.0,1.0,1.0,25.0,13.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,9.5
21,Tom Brady,QB,NWE,190.0,1.0,0.0,37.0,17.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,11.3
22,Mitchell Trubisky,QB,CHI,278.0,1.0,2.0,41.0,25.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,18.92,18.92,18.92
23,Ryan Fitzpatrick,QB,MIA,214.0,2.0,2.0,39.0,21.0,5.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,23.06,23.06,23.06
24,Dak Prescott,QB,DAL,212.0,0.0,1.0,33.0,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.880000000000001,6.880000000000001,6.880000000000001
25,Mike Glennon,QB,OAK,20.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2,-1.2,-1.2
26,Jared Goff,QB,LAR,212.0,0.0,2.0,37.0,26.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.380000000000001,4.380000000000001,4.380000000000001
27,Matt Ryan,QB,ATL,271.0,0.0,1.0,46.0,23.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,7.640000000000001,7.640000000000001,7.640000000000001
28,Derek Carr,QB,OAK,127.0,0.0,1.0,27.0,15.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,4.18,4.18
29,Jeff Driskel,QB,DET,207.0,1.0,3.0,33.0,20.0,9.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,12.579999999999998,12.579999999999998,12.579999999999998
30,Dwayne Haskins,QB,WAS,156.0,0.0,1.0,29.0,13.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,5.039999999999999,5.039999999999999,5.039999999999999
31,Mason Rudolph,QB,PIT,85.0,0.0,1.0,16.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.7999999999999998,1.7999999999999998
32,Steven Sims,WR,WAS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Brandon Allen,QB,DEN,82.0,0.0,1.0,25.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2.08,2.08
34,Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,0.0,19.0,159.0,2.0,1.0,1.0,16.0,0.0,1.0,28.5,27.5,28.0
35,Rashaad Penny,RB,SEA,0.0,0.0,0.0,0.0,0.0,14.0,129.0,1.0,0.0,0.0,0.0,0.0,0.0,18.9,18.9,18.9
36,Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,15.0,111.0,1.0,1.0,1.0,7.0,1.0,0.0,24.8,23.8,24.3
